class,main_axis,area_ratio,max_defect,min_defect
0, 7.260317179881405, 0.355840479560403, 24972, 142
0, 6.535235101948518, 0.3201022402646218, 13493, 226
0, 6.553737334686139, 0.3207801950487622, 21523, 21523
0, 6.617285328942852, 0.3213020872579308, 17779, 17779
0, 6.531832642438255, 0.31654034774855105, 17408, 17408
0, 6.517466802670077, 0.3199641496751065, 9238, 1054
0, 6.439463955765637, 0.3135230791918596, 9177, 114
0, 6.547268363149879, 0.3204716769908202, 9216, 114
0, 6.492532426467589, 0.31524471388437086, 20267, 20267
0, 6.5211795530916135, 0.31984441618670056, 9164, 114
0, 6.532676730441836, 0.3180185573181682, 9151, 982
0, 7.24312302106405, 0.3517513566847558, 14592, 14592
0, 6.534290510173838, 0.32115254746004346, 17016, 17016
0, 6.522095048270465, 0.3197009345794392, 21036, 21036
0, 7.129426467561959, 0.348780088423121, 15402, 15402
0, 7.286849339107643, 0.3525423728813559, 23813, 114
0, 6.60466621465283, 0.32223903177004537, 25740, 114
0, 7.241000784491843, 0.3561461794019934, 14413, 14413
0, 6.516434995830526, 0.31871562360636246, 18944, 18944
0, 6.612563140485516, 0.32261958653991246, 9196, 114
0, 7.228646044081091, 0.356061865957093, 9037, 114
0, 6.54197765647244, 0.319820157362308, 24868, 142
0, 6.608269188454328, 0.32511346444780637, 20951, 20951
0, 6.516466489409175, 0.32186842895764495, 18953, 18953
0, 7.140923136569869, 0.34842294492564146, 27382, 27382
0, 6.544718172084174, 0.3184332486171326, 13568, 13568
0, 6.5771483205878125, 0.32127373299446854, 9164, 114
0, 6.540634233443589, 0.3196592692221475, 13971, 13971
0, 7.1911594920006605, 0.35329045027214256, 20481, 20481
0, 6.517555854324547, 0.3185616233960012, 9203, 1050
0, 6.516121761668759, 0.31754750593824227, 9272, 114
0, 6.534477425363749, 0.320011974255351, 9177, 114
0, 6.524721641414568, 0.31924882629107987, 20150, 20150
0, 7.278808017342425, 0.35770322149891504, 9172, 114
0, 6.515487894051101, 0.32046853881964255, 20650, 20650
0, 7.1683975157579045, 0.3480960941330283, 25775, 25775
0, 6.51397626491826, 0.3180568966797891, 9182, 114
0, 6.548144469833376, 0.3194974197890958, 9127, 114
0, 7.219347143253292, 0.35392791895034054, 13312, 13312
0, 6.444595326351942, 0.31470284618787786, 20722, 20722
0, 6.468115673628699, 0.3155871044069802, 27264, 27264
0, 6.502509446270275, 0.3181885893043349, 20200, 20200
0, 6.551614310096647, 0.3212020537601933, 20093, 20093
0, 7.289944046090087, 0.35784888591053776, 19834, 19834
0, 7.203448558945052, 0.35271734634791957, 14784, 14784
0, 6.5114414897102995, 0.31719110317637433, 16752, 16752
0, 6.486685603086318, 0.31646133293750933, 22829, 22829
0, 6.655399076925125, 0.32305832577818067, 15036, 186
0, 7.1767425388923405, 0.3534753178140994, 9222, 114
0, 6.493317265098228, 0.32000596747724896, 22667, 22667
0, 6.51051216401473, 0.3196660205755182, 14672, 14672
0, 6.579031014602477, 0.3217509025270759, 25046, 25046
0, 6.565307433132728, 0.32174372124594613, 19059, 162
0, 6.484318225154885, 0.31741323049540193, 24504, 162
0, 6.519484368054526, 0.3166395021484664, 20608, 20608
0, 6.572410634427286, 0.32201980497392096, 14265, 14265
0, 7.114829185309997, 0.3489867339464475, 17354, 162
0, 6.536516726448958, 0.3182669964770257, 16287, 16287
0, 7.341605108107302, 0.36010428054831384, 9116, 114
0, 6.552797093206861, 0.32012559808612445, 13568, 13568
0, 7.321561400450371, 0.3584905660377358, 9184, 114
0, 6.560773747105268, 0.3219080477011926, 25157, 25157
0, 7.2539863315143425, 0.3544872328037928, 9226, 162
0, 6.6200735421538495, 0.3229229836264403, 9161, 1063
0, 6.469093780664811, 0.3143891804005617, 20101, 20101
0, 7.259738787501455, 0.3558588548601864, 20103, 20103
0, 7.143457856719457, 0.3478613748884019, 25337, 25337
0, 6.558681077427039, 0.3195151152349595, 9185, 181
0, 7.1511022146646726, 0.3514993054988153, 9195, 114
0, 6.492967716458316, 0.3178265723855601, 20475, 20475
0, 6.535535729731384, 0.3170350524670686, 9156, 1061
0, 7.082034792777925, 0.3494623655913978, 15112, 15112
0, 7.219400618979926, 0.3499344692005242, 24730, 24730
0, 6.5890399136712965, 0.32636238742176765, 9216, 1055
0, 6.41626087240413, 0.31473428171297996, 15654, 15654
0, 6.545101905809212, 0.3194945848375452, 23429, 23429
0, 6.617767923487591, 0.32654311533159747, 9139, 114
0, 6.614700193714232, 0.3207334485609078, 13866, 13866
0, 6.5532714934428435, 0.31889263000374113, 19052, 114
0, 6.535657981021711, 0.3243977950615419, 9211, 114
0, 6.5840771540585115, 0.32237139840096546, 17408, 17408
0, 7.206234507305172, 0.3509666803784451, 15227, 15227
0, 7.181857542756083, 0.35083121775448367, 20057, 20057
0, 7.2509367085963845, 0.3555334658714381, 14780, 14780
0, 6.589071300427372, 0.3222521713087751, 9193, 114
0, 6.517312633671867, 0.3195337019877447, 20735, 20735
0, 7.189350207103225, 0.3540804502565801, 21337, 21337
0, 6.524037622011696, 0.31875000000000003, 9192, 114
0, 6.572566424154026, 0.3217279661656975, 19550, 229
0, 7.220286077756074, 0.34818941504178275, 25560, 25560
0, 6.544977654686662, 0.31917593491080093, 13758, 13758
0, 6.634273372673047, 0.3222012815680362, 9112, 114
0, 6.593153833275598, 0.3195567535190177, 16871, 16871
0, 6.484588805724295, 0.3197375288941914, 9290, 114
0, 6.547571764779296, 0.32267792521109767, 25037, 25037
0, 7.282582938544836, 0.3535387177352206, 25519, 114
0, 6.505295367522829, 0.32024484920871904, 16912, 16912
0, 6.636045129111051, 0.3244306574865703, 25731, 25731
0, 7.301446052114015, 0.35773170122408193, 14942, 14942
0, 7.320164715155474, 0.3531660295828486, 9204, 114
1, 7.03593155109861, 0.3763950689328179, 11783, 1349
1, 6.2721203379576, 0.33389720234222514, 11728, 114
1, 6.352411747910201, 0.3385447588891088, 11782, 1453
1, 10.936690123309301, 0.5854993160054719, 11650, 114
1, 7.166333083402734, 0.3782589482987185, 11780, 1481
1, 7.026370190890178, 0.3738997599476249, 11840, 114
1, 6.426321583547694, 0.3423230974632844, 11698, 114
1, 7.003343897025218, 0.3707359558716795, 11667, 1485
1, 6.313062165554938, 0.334854609466684, 11669, 1448
1, 6.348022542992067, 0.3370136698212408, 11658, 1338
1, 6.4085708353284465, 0.341679915209327, 11690, 1488
1, 6.319698955488002, 0.336184940899889, 11888, 1462
1, 6.963228226542579, 0.36965596660428957, 11632, 114
1, 7.031924807842403, 0.3744352135257251, 11804, 1521
1, 6.378774177424604, 0.33694581280788183, 11661, 1558
1, 7.016441636792867, 0.37003257328990224, 11697, 1456
1, 6.410508904901256, 0.3381866313699537, 11638, 1490
1, 7.041273142618821, 0.3749636098981077, 11681, 1485
1, 7.106611789299326, 0.37673089603633964, 11757, 1534
1, 6.330033366391143, 0.3362114076399791, 11720, 1460
1, 6.357763413153718, 0.336923683173519, 11669, 1356
1, 6.371806123302681, 0.3376332762932737, 11757, 1506
1, 6.348221434869416, 0.3376896302620346, 11739, 1386
1, 7.040889053402507, 0.37328493647912886, 11807, 1438
1, 6.3360616938812395, 0.3378333882120514, 11567, 114
1, 6.991133444227435, 0.37141622244633327, 11678, 114
1, 6.351210409829994, 0.3346196611943228, 11681, 1413
1, 6.3460627054451635, 0.3379337539432177, 11687, 114
1, 6.422533354059513, 0.34043966261539477, 11782, 1442
1, 6.2628492225822034, 0.3364412857794875, 11616, 142
1, 7.148470080153671, 0.3783544677086405, 11770, 1504
1, 6.484638394197835, 0.3503141218246381, 11698, 1366
1, 6.329730123403787, 0.3351422033344229, 11718, 114
1, 6.329544846554309, 0.334838076545633, 11700, 1399
1, 6.41606051963073, 0.3407672905880791, 11585, 1438
1, 6.369924805465638, 0.33801701959232133, 11654, 1515
1, 6.342005992617346, 0.33665182080167666, 11638, 1424
1, 6.393995505401683, 0.3385650224215247, 11718, 1490
1, 6.343105515707735, 0.33662977274215733, 11782, 114
1, 6.409204309318896, 0.3392538791680423, 11714, 1504
1, 6.456547073355989, 0.34210351029108105, 11683, 1433
1, 6.990857247722271, 0.37088288288288285, 11757, 114
1, 6.378614207016689, 0.339172813487882, 11618, 114
1, 7.0834913125147985, 0.37515509816801684, 11678, 1501
1, 6.940400333597865, 0.36988472622478386, 11713, 114
1, 6.358664794804415, 0.33740478066719204, 11666, 1411
1, 7.0388384030260385, 0.37515473676545547, 11654, 114
1, 6.377935136910903, 0.3392656301687066, 11745, 1442
1, 6.409832662729571, 0.33955248655467757, 11650, 114
1, 7.117562688006054, 0.3758438508952157, 11717, 1433
1, 6.325386221953939, 0.3346349082389692, 11800, 1554
1, 6.386417192131469, 0.339025515922727, 11707, 1433
1, 10.997877677918444, 0.5799660441426145, 11697, 1492
1, 6.323252479688113, 0.33502802763655326, 11748, 1478
1, 6.352819816112851, 0.33882723750738725, 11607, 1458
1, 6.362923835844314, 0.33738422124417, 11609, 1508
1, 6.9436576247847075, 0.369917236415977, 11717, 1521
1, 7.042846829049384, 0.37057378233848826, 11681, 1440
1, 6.973389747227172, 0.3672883787661407, 11672, 1400
1, 7.037912486598706, 0.3727385017801352, 11696, 1501
1, 6.369446168997061, 0.3372306883867577, 11642, 1529
1, 6.381609150803551, 0.33812241684707733, 11776, 1361
1, 6.981140797480146, 0.37288627621743237, 11750, 1364
1, 9.541786126032758, 0.5057539097078785, 11686, 1493
1, 7.136226446889299, 0.38115791040333374, 11676, 1646
1, 7.0237099046278715, 0.37086859043899617, 11613, 114
1, 7.071380730542783, 0.37752710225607966, 11611, 114
1, 6.391008916606064, 0.33875016514731143, 11631, 114
1, 7.008176606761468, 0.3715134391074404, 11830, 162
1, 6.449773542931478, 0.3407141432276081, 11726, 1488
1, 6.444630043450299, 0.3403858948769129, 11725, 1371
1, 6.930871375503735, 0.3688943241493418, 11685, 1438
1, 6.438576201561382, 0.34177804375290904, 11722, 114
1, 6.956169838012581, 0.3698058950395399, 11826, 114
1, 6.984073166748011, 0.3693550714182658, 11796, 1506
1, 9.521821337160459, 0.5015717092337918, 11659, 1542
1, 6.993156425387306, 0.36923742875694393, 11697, 1492
1, 6.361589087134987, 0.3379541423033966, 11728, 1356
1, 7.013669940323143, 0.3724790680742629, 11566, 1455
1, 9.54598285358975, 0.5038889435857045, 11664, 1280
1, 6.346092568507045, 0.33693646190350646, 11751, 114
1, 6.426956034669151, 0.3440788150928222, 11710, 1513
1, 6.425866540862403, 0.34103585657370517, 11750, 114
1, 6.370888221559308, 0.3377357250804915, 11678, 1533
1, 6.381870301151952, 0.33644123440577806, 11664, 1536
1, 7.0163096905148725, 0.37165445709726547, 11748, 1485
1, 6.4213518819311055, 0.3402055021544581, 11761, 114
1, 6.989619683594032, 0.36921521911775323, 11768, 1448
1, 7.171599536920775, 0.3785619371032039, 11749, 1468
1, 7.024708107834731, 0.37073945696129407, 11690, 1585
1, 7.095033433789267, 0.3760309466462301, 11742, 1405
1, 6.403297651553568, 0.33680738786279685, 11581, 1280
1, 6.336773284295126, 0.3361696557140986, 11585, 1437
1, 6.410683958653967, 0.3413241251079089, 11650, 114
1, 7.020281276015418, 0.3738195554264129, 11669, 1507
1, 6.454214815830729, 0.34159999999999996, 11755, 1542
1, 6.999114923305521, 0.3718600261361986, 11667, 1485
1, 6.394810825539203, 0.3397448608632428, 11583, 1415
1, 6.995006358035488, 0.3722177916334372, 11764, 1448
1, 7.004395591071617, 0.371162320306292, 11690, 1512
2, 8.62745981018315, 0.36395324994873895, 9306, 114
2, 14.101555156500726, 0.5960087204427301, 9139, 162
2, 8.168664975753703, 0.3445860492265785, 9191, 114
2, 8.625960421574339, 0.3657178217821782, 9188, 853
2, 8.73115959814922, 0.37097278698780106, 9263, 114
2, 8.104713735344184, 0.34241694752046226, 9252, 910
2, 8.09527655925399, 0.34421307506053267, 9166, 954
2, 8.666757780902715, 0.3665701282581713, 9216, 114
2, 8.981693751099066, 0.3777611781026571, 9142, 114
2, 8.56404877546929, 0.3617455138662317, 9307, 930
2, 8.710977947088885, 0.3688856579084018, 9198, 114
2, 8.90460838211211, 0.37775647171620325, 9196, 114
2, 8.495389632933493, 0.36103736981825607, 9004, 870
2, 8.262462167007948, 0.34900649222899865, 9192, 114
2, 8.652028281029848, 0.3687487030504254, 9222, 903
2, 8.34775583750361, 0.35023315805139393, 9175, 1014
2, 8.211770286116652, 0.3457223685494098, 9264, 1032
2, 8.41167918140131, 0.3558726012257611, 9119, 849
2, 8.206009383929992, 0.3462138953942233, 9153, 114
2, 8.740498479688117, 0.37044745057232054, 9060, 114
2, 8.171361213541001, 0.34500194476857254, 9223, 848
2, 8.727419274198793, 0.36683573129075664, 9112, 978
2, 8.19939674632042, 0.34839850658282573, 9109, 856
2, 8.647783565396976, 0.3650143383859074, 9159, 162
2, 8.072567567133975, 0.3433037437282902, 9194, 842
2, 8.161314395180367, 0.3437077131258458, 9159, 162
2, 8.833668906353271, 0.3765425588018141, 9091, 949
2, 8.257942438190353, 0.34642122784686186, 9293, 114
2, 8.26645635552955, 0.347365322343244, 9321, 114
2, 8.767979555114412, 0.36875586609656896, 9159, 114
2, 8.22200713126785, 0.34626282364435756, 9187, 114
2, 12.50910484743674, 0.5245658304883479, 9269, 982
2, 8.005510606580094, 0.3409200038413522, 9222, 942
2, 8.337225870767117, 0.3537834344237844, 9236, 993
2, 8.313997512065386, 0.34974399369830644, 9217, 162
2, 8.31348913457446, 0.3503995264871264, 9194, 972
2, 8.359067647387958, 0.354156321382461, 9216, 114
2, 8.320489182399777, 0.3504501830414565, 9175, 942
2, 8.160463322073992, 0.3438896444530794, 9163, 993
2, 8.899914823216532, 0.37485497310410293, 9159, 985
2, 8.21174019434401, 0.3462512171372931, 9139, 142
2, 8.346426213426504, 0.35220748366660065, 9310, 162
2, 8.211911898262894, 0.34455983694069686, 9236, 1104
2, 8.782786858121623, 0.36929503916449086, 9212, 114
2, 8.684358423853435, 0.3664422578974625, 9348, 114
2, 8.785746570099096, 0.37139874739039663, 9229, 114
2, 8.905159236865616, 0.37312020191397627, 9267, 985
2, 8.798752060920599, 0.36977424749163884, 9168, 877
2, 8.223855355662842, 0.3464659301984554, 9175, 114
2, 8.755825927429658, 0.3677036728748309, 9174, 162
2, 8.555921118091456, 0.3606590724165989, 9248, 162
2, 8.60495375538224, 0.366382410356519, 9218, 965
2, 8.685073802928775, 0.36559581237811767, 9235, 992
2, 8.714142650416225, 0.36998545001039285, 9236, 114
2, 8.676267989343765, 0.3665181808764115, 9259, 968
2, 8.27661297813227, 0.348586017282011, 9258, 162
2, 8.162995939285047, 0.34342846049310816, 9230, 114
2, 8.621784527602982, 0.36668725550751496, 9222, 114
2, 8.902212468232925, 0.3764880952380953, 9076, 872
2, 8.14885781719487, 0.34362338414045923, 9330, 114
2, 9.013672392665889, 0.3831161839129967, 9216, 905
2, 8.184336689275836, 0.34575609756097564, 9104, 142
2, 8.702764252780167, 0.36892397174906527, 9251, 114
2, 8.159827689357126, 0.34465359984475064, 9145, 256
2, 8.66075350150282, 0.3643815964750487, 9235, 186
2, 8.096751759307795, 0.342625639046976, 9145, 186
