class, main_axis, max_defect, min_defect, area_ratio
0, 8.544, 15584, 114, 67.4204545455
0, 10.198, 29687, 29687, 69.3888888889
0, 7.071, 19288, 114, 77.5555555556
0, 8.246, 22975, 154, 71.3595505618
0, 9.055, 15005, 162, 66.5806451613
0, 9.055, 14225, 14225, 67.6162790698
0, 111.198, 11118, 114, 0.384140061792
0, 124.278, 13703, 181, 0.384936406995
0, 8.544, 22066, 114, 71.0777777778
0, 109.713, 11608, 114, 0.384572252483
0, 105.603, 10767, 114, 0.383688008037
0, 136.213, 14117, 114, 0.384812697056
0, 8.062, 22016, 114, 73.0810810811
0, 7.28, 12184, 114, 80.421875
0, 9.22, 24957, 154, 70.7789473684
0, 10.0, 23391, 114, 70.3535353535
0, 143.562, 13995, 162, 0.3831085794
0, 8.062, 24774, 142, 71.24
0, 8.544, 20915, 142, 69.164556962
0, 6.325, 12032, 285, 80.6274509804
0, 111.364, 11766, 114, 0.384299372572
0, 131.609, 14044, 229, 0.385773061932
0, 7.616, 13771, 154, 75.2876712329
0, 8.944, 18941, 160, 74.2906976744
0, 8.062, 13853, 142, 73.2089552239
0, 7.28, 23285, 234, 82.5714285714
0, 7.28, 12485, 229, 77.625
0, 8.246, 15088, 114, 74.1216216216
0, 7.0, 18527, 162, 86.7021276596
0, 8.062, 17020, 201, 77.6142857143
0, 7.28, 13213, 285, 75.9032258065
0, 7.071, 19295, 114, 83.82
0, 8.246, 13738, 149, 76.5131578947
0, 7.28, 13653, 186, 74.6290322581
0, 7.616, 13702, 142, 74.1571428571
0, 120.416, 11694, 114, 0.384566275636
0, 124.326, 13996, 114, 0.385935698732
0, 112.641, 11125, 114, 0.385647453438
0, 9.22, 17940, 162, 69.6777777778
0, 8.246, 22436, 186, 78.0875
0, 9.22, 22581, 114, 67.9795918367
0, 7.28, 12590, 114, 71.390625
0, 7.616, 20349, 154, 71.8219178082
0, 6.708, 13397, 142, 85.7090909091
0, 8.944, 14994, 160, 70.0888888889
0, 9.055, 21784, 114, 70.2235294118
0, 8.062, 13600, 114, 72.8701298701
0, 8.944, 25916, 114, 66.5463917526
0, 114.756, 12775, 114, 0.387012012012
0, 8.544, 21720, 154, 69.1882352941
0, 7.616, 24199, 160, 69.6438356164
0, 118.697, 12185, 114, 0.384076870281
0, 6.325, 17378, 164, 77.6078431373
0, 9.055, 24778, 142, 72.369047619
0, 9.22, 17035, 142, 69.0760869565
0, 10.44, 28025, 114, 63.5846153846
0, 9.055, 20158, 20158, 79.4366197183
0, 9.22, 14061, 186, 73.3111111111
0, 8.062, 20618, 114, 77.4647887324
0, 8.246, 14257, 142, 67.6419753086
0, 7.071, 12056, 114, 73.0701754386
0, 112.201, 11921, 114, 0.380238095238
0, 105.688, 10969, 162, 0.379967776584
0, 6.325, 13818, 237, 86.1632653061
0, 7.28, 20870, 114, 71.5735294118
0, 7.28, 24525, 114, 75.8676470588
0, 9.055, 17231, 210, 73.0659340659
0, 7.28, 22672, 114, 74.7903225806
0, 7.28, 13908, 142, 75.484375
0, 7.616, 18564, 114, 76.3174603175
0, 9.055, 24438, 114, 79.1369863014
0, 9.055, 23262, 114, 75.3411764706
0, 9.434, 25910, 114, 67.6666666667
0, 9.055, 21028, 21028, 75.0963855422
0, 9.0, 23179, 114, 74.5714285714
0, 7.071, 20735, 114, 76.0
0, 8.544, 14192, 154, 74.3703703704
0, 143.684, 12852, 226, 0.385632145926
0, 7.071, 19430, 114, 73.5438596491
0, 8.544, 26152, 132, 72.7764705882
0, 8.062, 22515, 114, 74.0253164557
0, 8.544, 16019, 173, 68.0111111111
0, 7.28, 19545, 114, 74.4126984127
0, 119.549, 12672, 162, 0.387619605546
0, 117.004, 11869, 114, 0.386783566408
0, 9.22, 15012, 114, 65.6442307692
0, 8.246, 23105, 162, 74.0
0, 8.062, 12617, 160, 79.421875
0, 6.325, 19302, 114, 83.6862745098
0, 9.055, 15744, 114, 64.4803921569
0, 7.28, 12683, 114, 72.6885245902
0, 116.726, 11671, 114, 0.387314920273
0, 6.708, 12182, 124, 77.8421052632
0, 6.325, 13118, 142, 81.0816326531
0, 8.062, 14293, 142, 75.4637681159
0, 8.246, 20643, 95, 69.0921052632
0, 7.071, 22170, 162, 77.5409836066
0, 119.57, 13314, 114, 0.381170018282
0, 10.198, 25094, 114, 65.4830508475
0, 8.544, 13769, 621, 73.5974025974
