Class, AreaAirplane, AreaConvexHull
0,5.38,16.213749999999997
0,7.657500000000001,9.085
0,5.3675,0.92125
0,6.647500000000001,8.12875
0,6.4375,15.54625
1,6.404999999999999,18.275
1,9.2125,9.88875
1,6.425,0.31375000000000003
1,8.035,8.89
1,7.7725,17.7975
2,4.4475,11.02375
2,6.397500000000001,1.4275
2,4.4675,0.68375
2,5.5875,2.64125
2,5.385,3.2787499999999996
3,6.16,17.2875
3,8.790000000000001,9.59875
3,6.1675,0.9287500000000001
3,7.66,8.200000000000001
3,7.3774999999999995,15.873750000000001
4,4.9175,2.65125
4,7.1225,3.3312500000000003
4,5.005,1.0375
4,6.2075,6.90125
4,5.970000000000001,11.855
5,4.3425,12.18625
5,6.342499999999999,9.6025
5,4.375,2.18375
5,5.4825,11.2425
5,5.2875,2.09875
